Variable,Type,Question
city,character,What city do you work for?
deptWork,character,What department do you work for?
deptWorkGroup,character,Grouped responses. What department do you work for?
deptSpeak,character,What department(s)' data usage are you able to speak to?
deptSpeakGroup,character,Grouped responses. What department(s)' data usage are you able to speak to?
fedUse,"[yes, no]",Does your department use federal data?
noUseBenefit,indicator,"Our department does not see the benefit of federal data. 
Why doesn't your department use federal data?  Select all that apply."
noUseAccess,indicator,"Accessing and using federal data is too challenging or time consuming. 
Why doesn't your department use federal data? Select all that apply."
noUseCity,indicator,"We use data produced by our city instead. 
Why doesn't your department use federal data?  Select all that apply."
noUsePurchase,indicator,"We purchase data instead. 
Why doesn't your department use federal data?  Select all that apply. "
noUseOther,indicator,"Other. 
Why doesn't your department use federal data?  Select all that apply."
noUseOtherText,indicator,"Other text response 
Why doesn't your department use federal data? Select all that apply. "
useDemo,indicator,Demographic. What types of federal data does your department use? Select all that apply.
useEcon,indicator,Economic. What types of federal data does your department use? Select all that apply.
useEnv,indicator,Environmental. What types of federal data does your department use? Select all that apply.
useEdu,indicator,Education. What types of federal data does your department use? Select all that apply.
useHealth,indicator,Health. What types of federal data does your department use? Select all that apply.
useHouse,indicator,Housing. What types of federal data does your department use? Select all that apply.
useCrim,indicator,Criminal. What types of federal data does your department use? Select all that apply.
useSci,indicator,Scientific. What types of federal data does your department use? Select all that apply.
useReg,indicator,Regulatory. What types of federal data does your department use? Select all that apply.
useTranspo,indicator,Transportation. What types of federal data does your department use? Select all that apply.
useLegal,indicator,Legal. What types of federal data does your department use? Select all that apply.
useCaFi,indicator,Campaign finance. What types of federal data does your department use? Select all that apply.
useElec,indicator,Electoral. What types of federal data does your department use? Select all that apply.
useLeg,indicator,Legistlative. What types of federal data does your department use? Select all that apply.
dataDOJ,indicator,Department of Justice. What federal agencies does your department rely on most for data? Please pick up to three.
dataDOT,indicator,Department of Transportation. What federal agencies does your department rely on most for data? Please pick up to three.
dataCensus,indicator,Census Department. What federal agencies does your department rely on most for data? Please pick up to three.
dataDOI,indicator,Department of the Interior. What federal agencies does your department rely on most for data? Please pick up to three.
dataHHS,indicator,Department of Health and Human Services. What federal agencies does your department rely on most for data? Please pick up to three.
dataDOE,indicator,Department of Education. What federal agencies does your department rely on most for data? Please pick up to three.
dataEPA,indicator,Environmental Protection Agency. What federal agencies does your department rely on most for data? Please pick up to three.
dataHUD,indicator,Department of Housing and Urban Development. What federal agencies does your department rely on most for data? Please pick up to three.
dataUSDA,indicator,Department of Agriculture. What federal agencies does your department rely on most for data? Please pick up to three.
dataFDIC,indicator,Federal Deposit Insurance Corporation. What federal agencies does your department rely on most for data? Please pick up to three.
