"","deptWork","deptSpeak","fedUse","noUseBenefit","noUseAccess","noUseCity","noUsePurchase","noUseOther","noUseOtherText","useDemo","useEcon","useEnv","useEdu","useHealth","useHouse","useCrim","useSci","useReg","useTranspo","useLegal","useCaFi","useElec","useLeg","otherDataText","geoState","geoCounty","geoCountySub","geoCBSA","geoTract","geoBlockGroup","geoBlock","geoAll","geoNA","doTrack","doID","doBudget","doInform","doPredict","doReg","doOther","otherDoText","import","startUse","pastChg","lessFreq","lessQuality","lessAccess","lessUse","lessOther","lessOtherText","lessReplace","futureChg","fLessFreq","flessQual","fLessAccess","fLessUse","fLessOther","fLessOtherText","fLessReplace","freq","access","easeUse","accuracy","futureFreq","futureAccess","futureUse","futureAccuracy","mena","hispanic","lostAccess","lostData","lossImpact","wishData","wishListData","dataLabor","dataDOJ","dataDOT","dataCensus","dataDOI","dataHHS","dataDOE","dataEPA","dataHUD","dataUSDA","dataFDIC","dataFHFA","dataIRS","dataCFPB","dataOther","howAccess","deptSpeakGroup","deptWorkGroup","cityID"
"1","department of innovation","citywide","Yes",NA,NA,"","",NA,NA,"","","Environmental","Education","Health","","Criminal Justice","","","","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","","","","","","","","Slightly important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Easy","Neutral","Acceptable","Somewhat better","Somewhat better","Somewhat better","About the same",NA,"Very valuable","No","","Policy decisions would be made based on opinion or intuition","No","","","","","Census Bureau ","","Department of Health and Human Services ","","Environmental Protection Agency ","","",NA,"","","","","An online tool ","citywide","innovation/analytics",119
"2","fire","fire","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","Health","Housing","","Scientific","Regulatory","","","","","","","State","County","","Core-based Statistical Area (CBSA)","","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Important","1 to 3 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Difficult","Good","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Slightly valuable","Slightly valuable","No","","Unable to look for risk trends in our city.","Yes","Access to insurance data other than health.","","","","Census Bureau ","","Department of Health and Human Services ","","","","",NA,"Federal Housing Finance Agency ","","","","API","emergency services","emergency services",324
"3","omb","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","","Housing","Criminal Justice","Scientific","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","About the same","About the same","About the same","About the same","Moderately valuable","Very valuable","No","","Worst information for understanding our community's profile and needs","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","finance",246
"4","office of data & analytics","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","","","Electoral","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Easy","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","Somewhat worse","Very valuable","Very valuable","No","","x","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","innovation/analytics",584
"5","the office of the city auditor","audit","No",NA,NA,"We use data produced by our city instead.","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","About the same","About the same","About the same","About the same",NA,NA,"","","Inability to obtain indicators that inform strategic planning","No","","","","","","","","","","","",NA,"","","","","","administration","finance",213
"6","city manager's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","Criminal Justice","","Regulatory","","","","","Legislative","","State","County","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","","","","Regulatory enforcement","Other - Write In (Required)","Grant funding documents","Fairly important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Much worse","Much worse","Much worse","Much worse",NA,NA,"Yes","White House Open Data Portal","Potential loss of grant funding without access to good federal level data.","Yes","White House Open Data Portal","","","","Census Bureau ","Department of the Interior ","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","city manager office",946
"7","finance","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","Health","Housing","Criminal Justice","","","","","","Electoral","","","State","County","","","Census Tracts","Census Block Groups","Census Blocks","","","","","Make budgeting decisions","Inform policy decisions","","","","","Fairly important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","Somewhat better","Much better","Somewhat better","Somewhat better","Not at all valuable","Not at all valuable","No","","N/A","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","finance",946
"8","city manager","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","Regulatory","Transportation","Legal","","Electoral","Legislative","","State","County","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Neutral","Good","About the same","Somewhat better","Somewhat better","Much better","Moderately valuable",NA,"No","","Erosion of policy decisions based upon data.","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","Department of Agriculture ",NA,"","","","","An online tool ","citywide","city manager office",946
"9","economic development","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","Scientific","Regulatory","Transportation","Legal","","","","","State","County","County Subdivision","","Census Tracts","","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Good","Much better","Much better","Much better","Much better","Very valuable",NA,"No","","We utilize the data for reports and information for the federal grants we receive and any other grants we apply for . Lose would be great since we have no way to replicate the necessary date","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","planning/development",981
"10","budget and finance","citywide","Yes",NA,NA,"","",NA,NA,"","Economic","","","","Housing","Criminal Justice","","","Transportation","Legal","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Fairly important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Difficult","Acceptable","About the same","Somewhat better","Somewhat better","Somewhat better",NA,NA,"No","","Substantial","No","","","","Department of Transportation ","","","","","","Department of Housing and Urban Development ","",NA,"","Internal Revenue Service ","","","An online tool ","citywide","finance",981
